zip_code,lat,long,population
27818,36.4997253417969,-77.0185012817383,1344
27819,35.8160057067871,-77.454948425293,330
27820,36.421516418457,-77.241569519043,3088
27821,35.3220672607422,-76.8740844726562,358
27822,35.8070106506348,-77.8404541015625,8143
27823,36.2096519470215,-77.7137298583984,8201
27824,35.5132102966309,-76.0371704101562,1476
27825,35.8328056335449,-77.1744232177734,103
27826,35.5954780578613,-76.2062454223633,1379
27827,35.6966361999512,-77.5132369995117,33
27828,35.5851516723633,-77.5771942138672,9071
27829,35.6838989257812,-77.6263580322266,1930
27830,35.5641670227051,-77.950309753418,4755
27831,36.4630851745605,-77.570556640625,3908
27832,36.5198097229004,-77.7401275634766,2847
27834,35.6572952270508,-77.3791885375977,52914
27837,35.5138664245605,-77.2045974731445,5903
27839,36.284912109375,-77.5568771362305,4001
27840,35.9826889038086,-77.214599609375,514
27841,35.9085006713867,-77.2763214111328,84
27842,36.5267486572266,-77.8519897460938,1493
27843,35.995532989502,-77.4000015258789,1157
27844,36.2494964599609,-77.9431533813477,2950
27845,36.371265411377,-77.4399871826172,2394
27846,35.7585678100586,-76.8975296020508,2988
27847,36.1831703186035,-77.1946716308594,936
27849,36.0773048400879,-77.2150268554688,1544
27850,36.4123916625977,-77.8801879882812,7247
27851,35.6400833129883,-78.0306777954102,5268
27852,35.7504577636719,-77.6369323730469,2977
27853,36.5085792541504,-77.2856292724609,673
27855,36.4155578613281,-77.0693359375,6456
27856,36.0136795043945,-77.9805755615234,17141
27857,35.9727935791016,-77.2862548828125,1298
27858,35.5317497253418,-77.2838897705078,55781
27860,35.6500625610352,-76.6761932373047,2246
27861,35.8148765563965,-77.3201141357422,71
27862,36.4901733398438,-77.1882934570312,877
27863,35.4881439208984,-77.9717330932617,11735
27864,35.8070335388184,-77.6513748168945,4779
27865,35.6562385559082,-76.8516082763672,1927
27866,36.5198707580566,-77.5145645141602,855
27869,36.2671051025391,-77.3134307861328,2258
27870,36.4189338684082,-77.7157592773438,27236
27871,35.8020706176758,-77.2605667114258,4619
27872,36.192756652832,-77.2538681030273,375
27873,35.6535911560059,-77.7752304077148,397
27874,36.1301078796387,-77.3932266235352,4861
27875,35.4557075500488,-76.5046691894531,517
27876,36.471996307373,-77.3913345336914,1302
27878,35.8668785095215,-77.8349304199219,1931
27879,35.574390411377,-77.2794876098633,311
27880,35.7307357788086,-78.0805892944336,3304
27881,35.9784126281738,-77.4365692138672,61
27882,35.9416542053223,-78.1156005859375,7413
27883,35.6005363464355,-77.8036956787109,3565
27884,35.7035217285156,-77.2666320800781,1282
27885,35.3864135742188,-76.2858581542969,984
27886,35.9045333862305,-77.5116577148438,21591
27888,35.5892753601074,-77.715950012207,2560
27889,35.5913734436035,-77.0036926269531,27468
27890,36.4141807556152,-77.5877456665039,2521
27891,36.0977363586426,-77.742790222168,5227
27892,35.8123207092285,-77.051628112793,15182
27893,35.6889495849609,-77.8966751098633,39723
27896,35.7907676696777,-77.9767303466797,20130
27897,36.3249969482422,-77.2107086181641,2265
27909,36.2886047363281,-76.2687377929688,40699
27910,36.2900657653809,-76.9931869506836,12007
27915,35.406177520752,-75.4919891357422,777
27916,36.3220138549805,-75.9151306152344,747
27917,36.3551445007324,-75.9974822998047,833
27919,36.3081703186035,-76.504280090332,1130
27920,35.2595176696777,-75.5532684326172,1326
27921,36.3520622253418,-76.1879272460938,4805
27922,36.3167533874512,-76.8422088623047,1030
27923,36.3962440490723,-75.9311141967773,598
27924,36.1684455871582,-76.83251953125,3140
27925,35.8561401367188,-76.1938400268555,4217
27926,36.5051155090332,-76.6049270629883,1915
27927,36.3413162231445,-75.8525619506836,542
27928,35.8245391845703,-76.4386596679688,1986
27929,36.4331321716309,-75.9882202148438,1166
27932,36.1007843017578,-76.6108169555664,12562
27935,36.431079864502,-76.8680953979492,1698
27936,35.2394218444824,-75.564582824707,1091
27937,36.5043334960938,-76.7807312011719,4333
27938,36.3842964172363,-76.7160034179688,1505
27939,36.2383995056152,-75.8430786132812,2361
27941,36.1025276184082,-75.81689453125,536
27942,36.2973594665527,-76.7506713867188,901
27943,35.2244338989258,-75.6789016723633,504
27944,36.1734313964844,-76.4212646484375,11909
27946,36.3634338378906,-76.6015396118164,1207
27947,36.2169609069824,-75.8915786743164,1230
27948,36.019229888916,-75.6921691894531,10862
27949,36.1088905334473,-75.7605514526367,6947
27950,36.5096778869629,-75.9963531494141,2006
27953,35.7799835205078,-75.8813629150391,1021
27954,35.9101219177246,-75.6778793334961,6111
27956,36.4015769958496,-76.0007247924805,340
27957,36.0662956237793,-76.7590560913086,1356
27958,36.4842987060547,-76.1383514404297,10144
27959,35.8869438171387,-75.6063995361328,2789
27960,35.0732307434082,-75.9985275268555,948
27962,35.7904624938965,-76.744743347168,7792
27964,36.0830459594727,-75.8062133789062,545
27965,36.2924003601074,-75.9308700561523,527
27966,36.1497573852539,-75.8022766113281,1052
27967,36.2294998168945,-76.904914855957,366
27968,35.7324180603027,-75.5099105834961,298
27970,35.8391380310059,-76.6504058837891,3409
27972,35.5524597167969,-75.4712982177734,244
27973,36.371208190918,-76.0555114746094,1323
27974,36.2430229187012,-75.989501953125,1285
27976,36.5051727294922,-76.3943786621094,3449
27978,35.7274055480957,-75.739875793457,225
27979,36.436767578125,-76.560676574707,1719
27980,36.2453231811523,-76.619384765625,2182
27981,35.852855682373,-75.6374206542969,1643
27982,35.5658988952637,-75.4654846191406,82
27983,35.970458984375,-76.9218673706055,10416
27985,36.2116012573242,-76.456672668457,283
27986,36.3889808654785,-76.9183349609375,2430
28001,35.338550567627,-80.2081756591797,26760
28006,35.4104423522949,-81.0922546386719,1130
28007,35.1045913696289,-80.1099090576172,611
28009,35.407844543457,-80.1071929931641,1121
28012,35.2115058898926,-81.0378646850586,20048
28016,35.3149337768555,-81.2832946777344,13463
28017,35.2470817565918,-81.6706848144531,695
28018,35.485725402832,-81.790397644043,5562
28019,35.2767028808594,-81.7877044677734,123
28020,35.5249900817871,-81.6413192749023,2322
28021,35.4007720947266,-81.4033432006836,13612
28023,35.5677146911621,-80.6022567749023,14175
28025,35.3825645446777,-80.5234451293945,49160
28027,35.407039642334,-80.6858749389648,55435
28031,35.4699211120605,-80.8953552246094,24390
28032,35.2330322265625,-81.0795135498047,3105
28033,35.4192695617676,-81.328254699707,2749
28034,35.3536643981934,-81.1789398193359,16642
28036,35.4805488586426,-80.7925415039062,14654
28037,35.4954872131348,-81.0184860229492,18287
28039,35.6788368225098,-80.4374237060547,116
28040,35.3891944885254,-81.7581329345703,7969
28043,35.3062400817871,-81.8725967407227,21055
28052,35.214656829834,-81.2332305908203,34932
28054,35.2628784179688,-81.1490783691406,36270
28056,35.2169342041016,-81.125,31418
28071,35.5176315307617,-80.316291809082,2802
28072,35.614070892334,-80.4452056884766,1357
28073,35.1985740661621,-81.4837799072266,5621
28075,35.3027000427246,-80.6398468017578,16143
28076,35.2591552734375,-81.7886123657227,722
28077,35.4048004150391,-81.202766418457,482
28078,35.4052848815918,-80.8640213012695,52133
28079,35.1147117614746,-80.6004257202148,31979
28080,35.4567451477051,-81.1056823730469,7299
